catalog,rule,alpha,c_FN,P_false_RESPONSE,P_false_ALERT,P_ESCALATE,P_empty,expected_cost
comcat_global_m4,escalate,0.215,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.215,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.215,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.215,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.215,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.215,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.22,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.22,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.22,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.22,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.22,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.22,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.225,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.225,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.225,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.225,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.225,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.225,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.23,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.23,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.23,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.23,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.23,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.23,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.235,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.235,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.235,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.235,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.235,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.235,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.24,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.24,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.24,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.24,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.24,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.24,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.245,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.245,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.245,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.245,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.245,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.245,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.25,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.25,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.25,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.25,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.25,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.25,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.255,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.255,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.255,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.255,5,0.0968,0.0039,0.0,0.1467,0.4878
comcat_global_m4,argmax,0.255,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.255,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.26,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.26,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.26,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.26,5,0.0968,0.0039,0.0,0.1467,0.4878
comcat_global_m4,argmax,0.26,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.26,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.265,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.265,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.265,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.265,5,0.0968,0.0039,0.0,0.1467,0.4878
comcat_global_m4,argmax,0.265,10,0.0968,0.0039,0.0,0.1467,0.9716
comcat_global_m4,argmax,0.265,50,0.0968,0.0039,0.0,0.1467,4.8424
comcat_global_m4,escalate,0.27,5,0.0549,0.0,0.1467,0.1467,0.4212
comcat_global_m4,escalate,0.27,10,0.0549,0.0,0.1467,0.1467,0.6956
comcat_global_m4,escalate,0.27,50,0.0549,0.0,0.1467,0.1467,2.8912
comcat_global_m4,argmax,0.27,5,0.0968,0.0039,0.0,0.1467,0.4878
